event_id,discipline,category,athlete_id,rank,qualification_rank,qualification_score,semi_final_rank,semi_final_score,final_rank,final_score
1375,boulder,youth b female,15495,1,2,5T6z 15 13,5,1T3z 1 6,1,4T4z 6 6
1375,boulder,youth b female,14305,2,5,5T5z 10 8,3,2T2z 6 4,2,4T4z 7 5
1375,boulder,youth b female,15605,3,17,3T4z 10 10,7,1T2z 1 7,3,4T4z 15 14
1375,boulder,youth b female,14173,4,3,5T6z 19 15,2,2T3z 6 11,4,3T4z 7 8
1375,boulder,youth b female,14740,5,12,4T4z 13 9,6,1T3z 4 18,5,3T4z 14 16
1375,boulder,youth b female,14378,6,4,5T5z 9 9,1,3T4z 9 11,6,3T3z 4 4
1375,boulder,youth b female,14383,7,1,6T6z 16 15,4,1T4z 4 16,7,3T3z 8 4
1375,boulder,youth b female,15426,8,19,3T4z 17 23,8,1T1z 1 1,8,1T3z 4 13
1375,boulder,youth b female,15640,9,24,2T4z 9 11,9,0T3z 0 6,,
1375,boulder,youth b female,15599,10,10,4T5z 16 14,10,0T3z 0 15,,
1375,boulder,youth b female,15497,11,21,2T4z 5 11,11,0T2z 0 4,,
1375,boulder,youth b female,14275,12,20,2T5z 7 19,12,0T2z 0 7,,
1375,boulder,youth b female,15642,13,14,3T5z 9 12,13,0T2z 0 10,,
1375,boulder,youth b female,14359,14,22,2T4z 6 10,14,0T2z 0 15,,
1375,boulder,youth b female,14247,15,9,4T5z 11 10,15,0T1z 0 1,,
1375,boulder,youth b female,16355,16,16,3T4z 8 10,16,0T1z 0 1,,
1375,boulder,youth b female,14161,17,6,5T5z 13 13,17,0T1z 0 3,,
1375,boulder,youth b female,14585,18,11,4T5z 29 27,18,0T1z 0 3,,
1375,boulder,youth b female,15590,19,13,3T5z 7 20,19,0T1z 0 4,,
1375,boulder,youth b female,14530,20,7,5T5z 14 13,20,0T0z 0 0,,
1375,boulder,youth b female,14285,21,8,4T6z 10 15,21,0T0z 0 0,,
1375,boulder,youth b female,15442,22,15,3T5z 13 18,22,0T0z 0 0,,
1375,boulder,youth b female,15600,23,18,3T4z 15 17,23,0T0z 0 0,,
1375,boulder,youth b female,14635,24,23,2T4z 7 11,24,0T0z 0 0,,
1375,boulder,youth b female,15381,25,25,2T4z 9 14,,,,
1375,boulder,youth b female,15443,26,26,2T4z 9 15,,,,
1375,boulder,youth b female,14471,27,27,2T4z 10 13,,,,
1375,boulder,youth b female,15441,28,28,2T4z 10 14,,,,
1375,boulder,youth b female,14358,29,29,2T3z 12 18,,,,
1375,boulder,youth b female,15690,30,30,2T2z 5 4,,,,
1375,boulder,youth b female,15395,31,31,1T5z 2 21,,,,
1375,boulder,youth b female,14459,32,32,1T3z 1 15,,,,
1375,boulder,youth b female,14472,33,33,1T3z 2 10,,,,
1375,boulder,youth b female,15468,34,34,1T3z 10 18,,,,
1375,boulder,youth b female,15838,35,35,1T3z 11 16,,,,
1375,boulder,youth b female,15740,36,36,1T2z 1 12,,,,
1375,boulder,youth b female,14477,37,37,1T2z 2 5,,,,
1375,boulder,youth b female,15593,38,38,1T1z 3 2,,,,
1375,boulder,youth b female,15463,39,39,1T1z 3 3,,,,
1375,boulder,youth b female,14631,40,40,0T3z 0 36,,,,
1375,boulder,youth b female,15624,41,41,0T2z 0 4,,,,
1375,boulder,youth b female,14610,41,41,0T2z 0 4,,,,
1375,boulder,youth b female,14246,43,43,0T2z 0 6,,,,
1375,boulder,youth b female,15573,43,43,0T2z 0 6,,,,
1375,boulder,youth b female,15464,45,45,0T2z 0 7,,,,
1375,boulder,youth b female,15751,46,46,0T1z 0 1,,,,
1375,boulder,youth b female,15467,46,46,0T1z 0 1,,,,
1375,boulder,youth b female,15576,46,46,0T1z 0 1,,,,
1375,boulder,youth b female,15399,49,49,0T1z 0 2,,,,
1375,boulder,youth b female,15435,50,50,0T1z 0 3,,,,
1375,boulder,youth b female,15387,51,51,0T1z 0 4,,,,
1375,boulder,youth b female,15358,51,51,0T1z 0 4,,,,
1375,boulder,youth b female,15574,53,53,0T1z 0 6,,,,
1375,boulder,youth b female,15130,54,54,0T0z 0 0,,,,
1375,boulder,youth b female,15456,54,54,0T0z 0 0,,,,
1375,boulder,youth b female,14393,54,54,0T0z 0 0,,,,
1375,boulder,youth b female,15374,54,54,0T0z 0 0,,,,
1375,boulder,youth b female,15359,54,54,0T0z 0 0,,,,
1375,boulder,youth b female,16343,54,54,0T0z 0 0,,,,
1371,lead,youth b female,14740,1,1,2.12,,,1,44+
1371,lead,youth b female,15500,2,2,3.35,,,2,42.0
1371,lead,youth b female,14151,3,4,4.24,,,3,41+
1371,lead,youth b female,14161,4,5,5.41,,,4,37.0
1371,lead,youth b female,15600,5,6,7.94,,,5,33.0
1371,lead,youth b female,14378,6,2,3.35,,,6,32+
1371,lead,youth b female,15426,7,9,11.32,,,7,32+
1371,lead,youth b female,15996,8,8,9.19,,,8,26+
1371,lead,youth b female,15640,9,10,11.83,,,9,26+
